Reference,Reference_Alternative,Reason_for_Exclusion,Notes,Occurrences
"Valenzuela, N. (2009). The painted turtle, Chrysemys picta: A model system for vertebrate evolution, ecology, and human health. Cold Spring Harbor Protocols, 4(7),  doi:10.1101/pdb.emo124.",NA,No new data,NA,3
"Valenzuela, N. (2010). Multivariate expression analysis of the gene network underlying sexual development in turtle embryos with temperature-dependent and genotypic sex determination. Sexual Development, 4(1-2), 39-49.",NA,No hatchling sex ratio data,NA,6
"Valenzuela, N., & Shikano, T. (2007). Embryological ontogeny of aromatase gene expression in Chrysemys picta and Apalone mutica turtles: Comparative patterns within and across temperature-dependent and genotypic sex-determining mechanisms. Development Genes and Evolution, 217(1), 55-62.",NA,No hatchling sex ratio data,NA,3
"Valenzuela, N., Botero, R., & Martinez, E. (1995). A preliminary model of sex determination in Podocnemis expansa from Colombian Amazonia. International Congress of Chelonian Conservation. France - Gonfaron - Tortoise Village - 6th to 10th of July 1995. Proceedings",NA,No access,Likely data already included in database,1
"Valenzuela, N., LeClere, A., & Shikano, T. (2006). Comparative gene expression of steroidogenic factor 1 in Chrysemys picta and Apalone mutica turtles with temperature-dependent and genotypic sex determination. Evolution & Development, 8(5), 424-432.",NA,No hatchling sex ratio data,NA,4
"Valleley, E. M. A., Cartwright, E. J., Croft, N. J., Markham, A. F., & Coletta, P. L. (2001). Characterisation and expression of Sox9 in the leopard gecko, Eublepharis macularius. Journal of Experimental Zoology, 291(1), 85-91.",NA,Squamate,NA,1
"Verma, N., Verma, B. K., & Pushpavanam, S. (2020). Modeling temperature-dependent sex determination in oviparous species using a dynamical systems approach. Bulletin of Mathematical Biology, 82(7), 89.",NA,No new data,NA,3
"Viets, B. E., Ewert, M. A., Talent, L. G., & Nelson, C. E. (1994). Sex-determining mechanisms in squamate reptiles. Journal of Experimental Zoology, 270(1), 45-56.",NA,Squamate,NA,1
"Viets, B. E., Tousignant, A., Ewert, M. A., Nelson, C. E., & Crews, D. (1993). Temperature-dependent sex determination in the leopard gecko, Eublepharis macularius. Journal of Experimental Zoology, 265(6), 679-683.",NA,Squamate,NA,1
"Vindas-Picado, J., Yaney-Keller, A., St. Andrews, L., Panagopoulou, A., & Santidrián Tomillo, P. (2020). Effectiveness of shading to mitigate the impact of high temperature on sea turtle clutches considering the effect on primary sex ratios. Mitigation and Adaptation Strategies for Global Change, 25(8), 1509-1521.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Vogt, R. C. (1994). Temperature controlled sex determination as a tool for turtle conservation. Chelonian Conservation and Biology, 1(2), 159-162.",NA,No new data,NA,1
"Vogt, R. C., & Bull, J. J. (1982). Temperature controlled sex-determination in turtles: Ecological and behavioral aspects. Herpetologica, 38(1), 156-164.",NA,No new data,NA,3
"Vogt, R. C., & Flores-Villela, O. A. (1986). Determinacion del sexo en tortugas por la temperatura de incubacion de los huevos. Ciencia, 37, 21-32.",NA,No new data,NA,1
"Wallace, B. P., Sotherland, P. R., Spotila, J. R., Reina, R. D., Franks, B. F., & Paladino, F. V. (2004). Biotic and abiotic factors affect the nest environment of embryonic leatherback turtles, Dermochelys coriacea. Physiological and Biochemical Zoology, 77(3), 423-432.",NA,No hatchling sex ratio data,NA,4
"Wang, J., Hua, L., & Ru, W. (2019). Identification and characterization of miRNAs in temperature-dependent sex determination (TSD) of Chinese pond turtles (Mauremys reevesii). Gene Expression Omnibus, http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92957.",NA,No hatchling sex ratio data,miRNA associated with an unpublished (?) paper that likely contains sex ratio data,2
"Warner, D. A. (2011). Sex determination in reptiles. In D. Norris & K. H. Lopez (Eds.), Hormones and reproduction of vertebrates, volume 3: Reptiles (pp. 1-38). Academic Press, Cambridge, Massachusetts.",NA,No new data,NA,3
"Warner, D. A., & Shine, R. (2005). The adaptive significance of temperature-dependent sex determination: Experimental tests with a short-lived lizard. Evolution, 59(10), 2209-2221.",NA,Squamate,NA,1
"Warner, D. A., & Shine, R. (2007). Fitness of juvenile lizards depends on seasonal timing of hatching, not offspring body size. Oecologia, 154(1), 65-73.",NA,Squamate,NA,1
"Warner, D. A., & Shine, R. (2011). Interactions among thermal parameters determine offspring sex under temperature-dependent sex determination. Proceedings of the Royal Society B, 278(1703), 256-265.",NA,Squamate,NA,2
"Warner, D. A., Jorgensen, C. F., & Janzen, F. J. (2010). Maternal and abiotic effects on egg mortality and hatchling size of turtles: Temporal variation in selection over seven years. Functional Ecology, 24(4), 857-866.",NA,No hatchling sex ratio data,NA,3
"Warner, D. A., Moody, M. A., Telemeco, R. S., & Kolbe, J. J. (2012). Egg environments have large effects on embryonic development, but have minimal consequences for hatchling phenotypes in an invasive lizard. Biological Journal of the Linnean Society, 105(1), 25-41.",NA,Squamate,NA,1
"Webb, J. K., Brown, G. P., & Shine, R. (2001). Body size, locomotor speed and antipredator behaviour in a tropical snake (Tropidonophis mairii, Colubridae): The influence of incubation environments and genetic factors. Functional Ecology, 15(5), 561-568.",NA,Squamate,NA,1
"Western, P. S., & Sinclair, A. H. (2001). Sex, genes, and heat: Triggers of diversity. Journal of Experimental Zoology, 290(6), 624-631.",NA,No hatchling sex ratio data,NA,1
"While, G. M., Noble, D. W. A., Uller, T., Warner, D. A., Riley, J. L., Du, W.-G., & Schwanz, L. E. (2018). Patterns of developmental plasticity in response to incubation temperature in reptiles. Journal of Experimental Zoology Part A, 329(4-5), 162-176.",NA,No hatchling sex ratio data,NA,1
"White, R. B., & Thomas, P. (1992). Adrenal-kidney and gonadal steroidogenesis during sexual differentiation of a reptile with temperature-dependent sex determination. General and Comparative Endocrinology, 88(1), 10-19.",NA,No hatchling sex ratio data,NA,2
"White, R. B., & Thomas, P. (1992). Stimulation of in vitro steroidogenesis by pituitary hormones in a turtle (Trachemys scripta) within the temperature-sensitive period for sex determination. Biology of Reproduction, 47(6), 952-959.",NA,No hatchling sex ratio data,Assumed FPT/MPT produced all one sex,3
"White, R. B., & Thomas, P. (1992). Whole-body and plasma concentrations of steroids in the turtle, Trachemys scripta, before, during, and after the temperature-sensitive period for sex determination. Journal of Experimental Zoology, 264(2), 159-166.",NA,No hatchling sex ratio data,NA,2
"Wibbels, T., & Murdock, C. (2000). Interclutch variability of sex ratios produced at pivotal temperature in a turtle with temperature-dependent sex determination. American Zoologist, 40(6), 1258.",NA,No new data,NA,2
"Wibbels, T., Bull, J. J., & Crews, D. (1994). Temperature-dependent sex determination: A mechanistic approach. Journal of Experimental Zoology, 270(1), 71-78.",NA,No new data,NA,4
"Wibbels, T., Cowan, J., & LeBoeuf, R. (1998). Temperature-dependent sex determination in the red-eared slider turtle, Trachemys scripta. Journal of Experimental Zoology, 281(5), 409-416.",NA,No new data,NA,2
"Wibbels, T., Mackey, W. R., Hillis-Starr, Z.-M., & Phillips, B. (1999). Hurricanes and hatchling hawksbill sea turtle sex ratios. American Zoologist, 39(5), 27A.",NA,No hatchling sex ratio data,NA,1
"Wibbels, T., Marques-M, R., Garduno, M., Burchfield, P., Pena, J., & Geis, A. (2002). Evaluation of incubation temperatures in the nests of Kemp's ridley sea turtles during the 1999 nesting season. In A. Mosier, A. Foley, & B. Brost (Eds.), Proceedings of the twentieth annual symposium on sea turtle biology and conservation (pp. 169-171). NOAA Technical Memorandum NMFS-SEFSC-477.",NA,No hatchling sex ratio data,NA,2
"Wibbels, T., Roberge, T., & Place, A. R. (2018). Temperature-dependent sex determination. In R. M. Roosenburg & V. S. Kennedy (Eds.), Ecology and conservation of the diamond-backed terrapin (pp. 127-145). Johns Hopkins University Press, Baltimore, Maryland.",NA,No new data,NA,3
"Wiggins, J. M., Santoyo-Brito, E., Scales, J. B., & Fox, S. F. (2020). Gene dose indicates presence of sex chromosomes in collared lizards (Crotaphytus collaris), a species with temperature-influenced sex determination. Herpetologica, 76(1), 27-30.",NA,Squamate,NA,1
"Willingham, E., & Crews, D. (1998). Organismal effects of environmentally relevant pesticide concentrations on the red-eared slider turtle, a species with temperature-dependent sex determination. American Zoologist, 38(5), 40A.",NA,No hatchling sex ratio data,NA,1
"Willingham, E., Baldwin, R., Skipper, J. K., & Crews, D. (2000). Aromatase activity during embryogenesis in the brain and adrenal–kidney–gonad of the red-eared slider turtle, a species with temperature-dependent sex determination. General and Comparative Endocrinology, 119(2), 202-207.",NA,No hatchling sex ratio data,NA,2
"Witt, M. J., Hawkes, L. A., Godfrey, M. H., Godley, B. J., & Broderick, A. C. (2010). Predicting the impacts of climate change on a globally distributed species: The case of the loggerhead turtle. Journal of Experimental Biology, 213(6), 901-911.",NA,No new data,NA,4
"Wnek, J. P., Bien, W. F., & Avery, H. W. (2013). Artificial nesting habitats as a conservation strategy for turtle populations experiencing global change. Integrative Zoology, 8(2), 209-221.",NA,No hatchling sex ratio data,NA,2
"Wood, A., Booth, D. T., & Limpus, C. J. (2014). Sun exposure, nest temperature and loggerhead turtle hatchlings: Implications for beach shading management strategies at sea turtle rookeries. Journal of Experimental Marine Biology and Ecology, 451, 105-114.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Yang, P., Zhang, Y., Wang, W., Xie, Z., Shi, P., & Luo, C. (2018). A kind of method of soft-shelled turtle production all-male egg (Chinese Patent No. 108419752A). China National Intellectual Property Administration.","杨品红, 张运生, 王文彬, 谢中国, 石彭灵, & 罗丛强. (2018). 种甲鱼产全雄蛋的方法 (Chinese Patent No. 108419752A). 国家知识产权局.",No hatchling sex ratio data,NA,1
"Yao, H. H.-C., DiNapoli, L., & Capel, B. (2004). Cellular mechanisms of sex determination in the red-eared slider turtle, Trachemys scripta. Mechanisms of Development, 121(11), 1393-1401.",NA,No hatchling sex ratio data,NA,5
"Yatsu, R., Miyagawa, S., Kohno, S., Saito, S., Lowers, R. H., Ogino, Y., Fukuta, N., Katsu, Y., Ohta, Y., Tominaga, M., Guillette, L. J., Jr., & Iguchi, T. (2015). TRPV4 associates environmental temperature and sex determination in the American alligator. Scientific Reports, 5(1), 18581.",NA,Crocodilian,NA,1
"Yılmaz, A., Tepeli, C., Garip, M., & Çağlayan, T. (2011). The effects of incubation temperature on the sex of Japanese quail chicks. Poultry Science, 90(10), 2402-2406.",NA,Bird,NA,1
"Zaborski, P., Dorizzi, M., & Pieau, C. (1988). Temperature-dependent gonadal differentiation in the turtle Emys orbicularis: Concordance between sexual phenotype and serological H-Y antigen expression at threshold temperature. Differentiation, 38(1), 17-20.",NA,No new data,NA,2
"Zappalorti, R. T., & Iverson, J. B. (2006). Sternotherus minor - loggerhead musk turtle. Chelonian Research Monographs, 3, 197-206.",NA,No new data,NA,2
"Zappalorti, R. T., Lovich, J. E., Farrell, R. F., & Torocco, M. E. (2015). Nest-site characteristics of Glyptemys muhlenbergii (bog turtle) in New Jersey and Pennsylvania. Northeastern Naturalist, 22(3), 573-584.",NA,No hatchling sex ratio data,NA,2
"Zappalorti, R. T., Tutterow, A. M., Pittman, S. E., & Lovich, J. E. (2017). Hatching success and predation of bog turtle (Glyptemys muhlenbergii) eggs in New Jersey and Pennsylvania. Chelonian Conservation and Biology, 16(2), 194-202.",NA,No hatchling sex ratio data,NA,2
"Zbinden, J. A., Davy, C., Margaritoulis, D., & Arlettaz, R. (2007). Large spatial variation and female bias in the estimated sex ratio of loggerhead sea turtle hatchlings of a Mediterranean rookery. Endangered Species Research, 3(3), 305-312.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"Zbinden, J. A., Margaritoulis, D., & Arlettaz, R. (2006). Metabolic heating in Mediterranean loggerhead sea turtle clutches. Journal of Experimental Marine Biology and Ecology, 334(1), 151-157.",NA,No hatchling sex ratio data,NA,3
"Zelickson, M., Wibbels, T., Vega, L., Lira, D., Acosta, R., Pena, J., Burchfield, P., & Schroeder, B. (2003). Histological evaluation of hatchling sex ratios of Kemp's ridley sea turtles during the 2002 nesting season. Integrative and Comparative Biology, 43(6), 1024.",NA,No hatchling sex ratio data,NA,1
"Zhang, D.-J., Tang, X.-L., Yue, F., Chen, Z., Li, R.-D., & Chen, Q. (2010). Effect of gestation temperature on sexual and morphological phenotypes of offspring in a viviparous lizard, Eremias multiocellata. Journal of Thermal Biology, 35(3), 129-133.",NA,Squamate,NA,1
